""	"Mean MTP_MT"	"Mean MT_MB"	"clusters"
"1816"	-0.02311952	0.1689145	9
"1817"	-0.07170401	0.1304151	9
"1818"	0.0565265	0.2077256	9
"1819"	0.02764801	0.1856382	9
"1820"	0.005357624	0.2049281	9
"1821"	-0.000918722	0.2110016	9
"1822"	-0.02483558	0.1896145	9
"1823"	-0.03091874	0.2085563	9
"1825"	0.01426328	0.1560686	9
"1826"	0.01628105	0.177462	9
"1827"	0.02481433	0.1963304	9
"1828"	0.01380136	0.1719768	9
"1829"	0.07341988	0.1534108	9
"1831"	0.02453451	0.2052165	9
"1832"	0.04210529	0.09945729	9
"1833"	0.02231173	0.1904585	9
"1834"	0.007612763	0.1744281	9
"1835"	0.05437564	0.1369967	9
"1836"	-0.06594369	0.2105963	9
"1837"	0.01607177	0.1657824	9
"1840"	0.06104765	0.1560712	9
"1841"	-0.000375691	0.1310609	9
"1842"	0.05748393	0.1428858	9
"1843"	0.02830958	0.1156943	9
"1844"	-0.03563295	0.138983	9
"1845"	0.01365696	0.1748047	9
"1847"	-0.007972084	0.201231	9
"1848"	0.00464373	0.1153738	9
"1849"	0.03265081	0.1244316	9
"1850"	0.006905465	0.1341733	9
"1852"	-0.08130366	0.1662451	9
"1853"	-0.05560696	0.2079926	9
"1854"	-0.01522773	0.1419978	9
"1857"	-0.0511309	0.2000498	9
"1858"	0.04164976	0.1592322	9
"1859"	0.02905258	0.130963	9
"1860"	0.01362965	0.1049644	9
"1861"	0.000532689	0.1943697	9
"1864"	0.002037388	0.1573125	9
"1865"	-0.004295442	0.2046773	9
"1866"	-0.05892539	0.1640428	9
"1867"	-0.002396252	0.1587199	9
"1868"	0.03076965	0.1255739	9
"1870"	0.0309901	0.1468008	9
"1872"	0.02950718	0.142504	9
"1873"	0.007582642	0.1590616	9
"1874"	0.01364566	0.1170356	9
"1875"	-0.01244996	0.1591477	9
"1876"	0.01969757	0.1123603	9
"1877"	0.01053378	0.1313945	9
"1879"	0.01552208	0.1452529	9
"1882"	-0.04792967	0.1704154	9
"1883"	0.03517	0.1094152	9
